u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
1887276,963508,8649,Juliet Marillier,4.14,183926,13559
1887276,13929,8649,Juliet Marillier,4.14,183926,13559
1887276,5826,7136914,Ann Patchett,3.84,411516,38519
1887276,405724,90075,Judi Hendricks,3.72,7365,882
1887276,19057,11466,Markus Zusak,4.33,1112111,94023
1887276,6425725,735413,Ben H. Winters,3.67,41837,5796
1887276,6001758,1373880,Kristin Cashore,4.09,442875,31904
1887276,3873328,1651879,A.S. King,3.90,64391,10050
1887276,6288,4178,Cormac McCarthy,3.99,813446,58211
1887276,2325825,15873,Cornelia Funke,3.88,582730,24527
1887276,28194,15873,Cornelia Funke,3.88,582730,24527
1887276,3236307,1373880,Kristin Cashore,4.09,442875,31904
1887276,893136,11466,Markus Zusak,4.33,1112111,94023
1887276,382450,346732,George R.R. Martin,4.36,3405053,140887
1887276,5899779,169377,Seth Grahame-Smith,3.53,224871,24598
1887276,28195,15873,Cornelia Funke,3.88,582730,24527
1887276,302180,8694,Tanith Lee,3.88,126220,7404
1887276,10692,5918,Elizabeth Kostova,3.73,213588,17194
1887276,123408,40563,Patricia Briggs,4.24,845095,40351
1887276,285208,40563,Patricia Briggs,4.24,845095,40351
1887276,285210,40563,Patricia Briggs,4.24,845095,40351
1887276,285211,40563,Patricia Briggs,4.24,845095,40351
1887276,5393637,40563,Patricia Briggs,4.24,845095,40351
1887276,21032488,108424,Patrick Rothfuss,4.49,616292,42819
1887276,1215032,108424,Patrick Rothfuss,4.49,616292,42819
1887276,10843755,2821144,Ellen Hopkins,4.24,397706,26241
1887276,12199924,500474,David L. Levy,3.00,8,4
1887276,8008883,885521,Erin Klingler,3.67,346,87
1887276,1330324,3369,Amitav Ghosh,3.86,57469,5351
1887276,13890,6252,Robert Jordan,4.14,1507561,33315
1887276,35231,6252,Robert Jordan,4.14,1507561,33315
1345592,611298,6649,Stephen Colbert,3.95,157009,5814
1345592,19380,5754446,Voltaire,3.76,164420,5452
1345592,10569,3389,Stephen King,3.98,8638395,274531
1345592,4799,585,John Steinbeck,3.88,2506389,64545
1345592,32416,12455,Thomas Harris,4.00,588063,8984
1345592,4381,1630,Ray Bradbury,3.99,1429790,47280
1345592,29946,16904,Richard Bach,3.87,203256,7216
1345592,52036,1113469,Hermann Hesse,4.00,564044,17204
1345592,976,630,Dan Brown,3.75,4543169,126849
1345592,960,630,Dan Brown,3.75,4543169,126849
1345592,968,630,Dan Brown,3.75,4543169,126849
1345592,96642,6485158,Homer Hickam,4.05,16656,2079
1345592,24807,13982,John Hodgman,3.82,19588,1856
1345592,33356,18741,Max Barry,3.80,42403,5074
1345592,38401,18741,Max Barry,3.80,42403,5074
1345592,41315,18741,Max Barry,3.80,42403,5074
1345592,9591,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,9601,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,4986,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,4984,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,4987,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,9598,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,9595,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,9589,2778055,Kurt Vonnegut,4.04,1726838,49761
