book_isbn,avg_rating,five_rating,four_rating,three_rating,two_rating,one_rating
0545123283,4.2,49,34,13,3,1
0393078299,4.7,81,14,2,1,2
1571743197,4.8,80,20,0,0,0
006075995X,4.0,54,20,9,6,11
0553803719,4.3,62,20,9,5,4
0552995878,4.1,49,31,10,4,6
0446675539,4.8,87,7,3,1,2
0553296981,4.6,74,16,5,2,3
0307277674,3.8,49,17,11,9,14
0143038095,4.2,56,28,7,3,6
0060786507,4.3,60,21,9,5,5
0142001740,4.4,63,21,8,4,4
0451525264,4.7,82,11,4,1,2
0140449264,4.6,78,11,5,2,4
0743477111,4.2,64,22,0,0,14
0060531045,4.2,64,12,8,7,9
0061122416,4.4,70,14,7,4,5
0142000671,4.4,63,23,8,3,3
0452284244,4.4,66,22,7,2,3
0061120081,4.7,82,11,3,2,2
0545652200,3.6,38,24,14,8,16
0062135252,4.6,68,24,6,1,1
1455521205,4.3,60,24,9,4,3
1416516352,4.6,74,19,4,2,1
0440236703,4.3,58,26,9,4,3
0593062752,4.1,45,30,16,6,3
0061991066,4.5,66,21,6,4,3
0743219635,3.8,44,24,11,9,12
1455521310,4.4,59,27,9,3,2
0805098550,4.4,66,18,8,4,4
1439102457,4.3,56,26,11,4,3
0099556316,3.9,43,27,14,9,7
006178480X,4.4,62,24,9,3,2
0062073168,4.5,65,24,8,2,1
1407221175,0.0,0,0,0,0,0
0385537859,4.0,44,26,18,7,5
0553815024,4.3,57,27,11,3,2
1455521213,4.4,60,27,8,3,2
054529844X,3.2,36,12,13,15,24
0345476980,4.5,66,25,6,2,1
0743499697,4.5,67,21,7,3,2
1466338342,4.4,57,30,9,2,2
0446675539,4.8,87,7,3,1,2
0307277674,3.8,49,17,11,9,14
0143037145,3.3,26,22,21,18,13
0143038419,3.7,49,16,9,8,18
1565125606,4.4,66,20,7,4,3
0143035479,3.6,34,26,16,12,12
006075995X,4.0,54,20,9,6,11
0312291639,3.6,35,28,15,11,11
0440241413,4.2,56,23,8,6,7
0307275558,3.0,20,22,19,18,21
014028009X,4.1,53,23,11,7,6
0552995878,4.1,49,31,10,4,6
0141439661,4.3,62,20,10,3,5
0553816713,4.3,67,14,6,4,9
0679783261,4.5,72,14,6,3,5
0805063897,3.7,39,25,14,10,12
0385494785,4.5,69,21,6,2,2
0679745580,4.5,67,22,7,2,2
0385486804,4.1,50,29,12,5,4
0767900383,3.5,37,22,14,13,14
0553279378,4.5,72,18,5,2,3
0439324599,4.0,49,26,13,6,6
0399243852,4.8,79,17,4,0,0
0786838655,4.7,78,16,4,1,1
0142406171,4.7,86,6,3,3,2
141690848X,4.5,66,25,2,5,2
0439023513,4.3,62,19,10,5,4
0142501891,4.3,59,23,11,3,4
0767905202,4.0,47,30,10,5,8
0767905180,3.5,36,21,15,12,16
031232118X,4.1,54,22,10,6,8
0143035479,3.6,34,26,16,12,12
0743418174,4.0,51,23,10,8,8
0440241413,4.2,56,23,8,6,7
